,precision,recall,f1-score,support
0,1.0,0.998879966398992,0.999439669404949,99997.0
1,0.02608695652173913,1.0,0.05084745762711864,3.0
accuracy,0.99888,0.99888,0.99888,0.99888
macro avg,0.5130434782608696,0.999439983199496,0.5251435635160339,100000.0
weighted avg,0.9999707826086955,0.99888,0.9994112116385956,100000.0
