,precision,recall,f1-score,support
0,0.9956980612596077,0.9456338181620091,0.9700203961889861,18357.0
1,0.6110678098207326,0.9543517954960439,0.7450700879068661,1643.0
accuracy,0.94635,0.94635,0.94635,0.94635
macro avg,0.8033829355401702,0.9499928068290264,0.8575452420479261,20000.0
weighted avg,0.9641006861039041,0.94635,0.9515407283636097,20000.0
