,precision,recall,f1-score,support
0,0.999989999799996,1.0,0.999994999874997,99997.0
1,1.0,0.6666666666666666,0.8,3.0
accuracy,0.99999,0.99999,0.99999,0.99999
macro avg,0.999994999899998,0.8333333333333333,0.8999974999374984,100000.0
weighted avg,0.999990000100002,0.99999,0.9999890000250007,100000.0
