,precision,recall,f1-score,support
0,0.9993453712290655,0.9979299449801166,0.9986371565634541,18357.0
1,0.9772318753744758,0.992696287279367,0.9849033816425121,1643.0
accuracy,0.9975,0.9975,0.9975,0.9975
macro avg,0.9882886233017707,0.9953131161297417,0.991770269102983,20000.0
weighted avg,0.997528747544611,0.9975,0.9975089269536987,20000.0
