,precision,recall,f1-score,support
0,0.9974398082579802,0.997494143923299,0.9974669753506742,18357.0
1,0.9719853836784409,0.9713937918441875,0.9716894977168951,1643.0
accuracy,0.99535,0.99535,0.99535,0.99535
macro avg,0.9847125959682106,0.9844439678837433,0.9845782365337846,20000.0
weighted avg,0.995348727278771,0.99535,0.9953493555630591,20000.0
