,precision,recall,f1-score,support
0,0.999989998599804,0.999879996399892,0.9999349944745304,99997.0
1,0.14285714285714285,0.6666666666666666,0.23529411764705882,3.0
accuracy,0.99987,0.99987,0.99987,0.99987
macro avg,0.5714235707284734,0.8332733315332793,0.6176145560607946,100000.0
weighted avg,0.9999642846141316,0.99987,0.9999120552482255,100000.0
