,precision,recall,f1-score,support
0,0.999969999699997,0.999989999699991,0.999979999599992,99997.0
1,0.0,0.0,0.0,3.0
accuracy,0.99996,0.99996,0.99996,0.99996
macro avg,0.4999849998499985,0.4999949998499955,0.499989999799996,100000.0
weighted avg,0.999940000600006,0.99996,0.999950000200004,100000.0
