,precision,recall,f1-score,support
0,0.9988547744996455,0.99776651958381,0.9983103504660162,18357.0
1,0.9753457606734817,0.9872185027388922,0.9812462189957653,1643.0
accuracy,0.9969,0.9969,0.9969,0.9969
macro avg,0.9871002675865637,0.9924925111613512,0.9897782847308907,20000.0
weighted avg,0.9969235090138262,0.9969,0.996908532065735,20000.0
