,precision,recall,f1-score,support
0,1.0,0.999549986499595,0.9997749426103657,99997.0
1,0.0625,1.0,0.11764705882352941,3.0
accuracy,0.99955,0.99955,0.99955,0.99955
macro avg,0.53125,0.9997749932497975,0.5587110007169476,100000.0
weighted avg,0.999971875,0.99955,0.9997484787738521,100000.0
